HUGO	Label	UNIPROT_KB_ID
CACNA1H	LABEL	O95180
CACNA1I	LABEL	Q9P0X4
CACNA1S	LABEL	Q13698
CACNA2D1	LABEL	P54289
CACNA2D2	LABEL	Q9NY47
CACNA2D3	LABEL	Q8IZS8
CACNA2D4	LABEL	Q7Z3S7
CACNB1	LABEL	Q02641
CACNB2	LABEL	Q08289
CACNB3	LABEL	P54284
CACNB4	LABEL	O00305
CACNG1	LABEL	Q06432
CACNG2	LABEL	Q9Y698
CACNG3	LABEL	O60359
CACNG4	LABEL	Q9UBN1
CACNG5	LABEL	Q9UF02
CACNG6	LABEL	Q9BXT2
CACNG7	LABEL	P62955
CACNG8	LABEL	Q8WXS5
CAD	LABEL	P27708
CALCA	LABEL	P06881
CALCR	LABEL	P30988
CALCRL	LABEL	Q16602
CALM1	LABEL	P0DP23
CALR	LABEL	P27797
CALY	LABEL	Q9NYX4
CAMK1D	LABEL	Q8IU85
CAMK2A	LABEL	Q9UQM7
CAMK2G	LABEL	Q13555
CAMK4	LABEL	Q16566
CAMLG	LABEL	P49069
CANT1	LABEL	Q8WVQ1
CARM1	LABEL	Q86X55
CARS	LABEL	P49589
CARS2	LABEL	Q9HA77
CASP1	LABEL	P29466
CASP3	LABEL	P42574
CASP7	LABEL	P55210
CASP8	LABEL	Q14790
CASR	LABEL	P41180
CAT	LABEL	P04040
CATSPER1	LABEL	Q8NEC5
CATSPER2	LABEL	Q96P56
CATSPER3	LABEL	Q86XQ3
CATSPER4	LABEL	Q7RTX7
CBFB	LABEL	Q13951
CBR1	LABEL	P16152
CBS	LABEL	P35520
CCBL1	LABEL	Q16773
CCBL2	LABEL	Q6YP21
CCKAR	LABEL	P32238
CCKBR	LABEL	P32239
CCL2	LABEL	P13500
CCL7	LABEL	P80098
CCL8	LABEL	P80075
CCNA2	LABEL	P20248
CCNB1	LABEL	P14635
CCND1	LABEL	P24385
CCNE1	LABEL	P24864
CCR1	LABEL	P32246
CCR2	LABEL	P41597
CCR3	LABEL	P51677
CCR4	LABEL	P51679
CCR5	LABEL	P51681
CCR9	LABEL	P51686
CD274	LABEL	Q9NZQ7
CD38	LABEL	P28907
CD44	LABEL	P16070
CD55	LABEL	P08174
CDA	LABEL	P32320
CDC25A	LABEL	P30304
CDC25B	LABEL	P30305
CDC25C	LABEL	P30307
CDC42	LABEL	P60953
CDC42BPA	LABEL	Q5VT25
CDC7	LABEL	O00311
CDH2	LABEL	P19022
CDH5	LABEL	P33151
CDIPT	LABEL	O14735
CDK1	LABEL	P06493
CDK15	LABEL	Q96Q40
CDK2	LABEL	P24941
CDK3	LABEL	Q00526
CDK4	LABEL	P11802
CDK5	LABEL	Q00535
CDK5R1	LABEL	Q15078
CDK6	LABEL	Q00534
CDK7	LABEL	P50613
CDK8	LABEL	P49336
CDK9	LABEL	P50750
CDKL2	LABEL	Q92772
CDKN1A	LABEL	P38936
CDO1	LABEL	Q16878
CEL	LABEL	P19835
CELA1	LABEL	Q9UNI1
CENPE	LABEL	Q02224
CERK	LABEL	Q8TCT0
CERS1	LABEL	P27544
CES1	LABEL	P23141
CES3	LABEL	Q6UWW8
CETP	LABEL	P11597
CFD	LABEL	P00746
CFTR	LABEL	P13569
CHAT	LABEL	P28329
CHD1	LABEL	O14646
CHEK1	LABEL	O14757
CHEK2	LABEL	O96017
CHRFAM7A	LABEL	Q494W8
CHRM1	LABEL	P11229
CHRM2	LABEL	P08172
CHRM3	LABEL	P20309
CHRM4	LABEL	P08173
CHRM5	LABEL	P08912
CHRNA1	LABEL	P02708
CHRNA10	LABEL	Q9GZZ6
CHRNA2	LABEL	Q15822
CHRNA3	LABEL	P32297
CHRNA4	LABEL	P43681
CHRNA5	LABEL	P30532
CHRNA6	LABEL	Q15825
CHRNA7	LABEL	P36544
CHRNA9	LABEL	Q9UGM1
CHRNB1	LABEL	P11230
CHRNB2	LABEL	P17787
CHRNB3	LABEL	Q05901
CHRNB4	LABEL	P30926
CHRND	LABEL	Q07001
CHRNE	LABEL	Q04844
CHRNG	LABEL	P07510
CHUK	LABEL	O15111
CKB	LABEL	P12277
CKM	LABEL	P06732
CKMT1A	LABEL	P12532
CKMT2	LABEL	P17540
CLCA1	LABEL	A8K7I4
CLCN1	LABEL	P35523
CLCN2	LABEL	P51788
CLCN3	LABEL	P51790
CLCN7	LABEL	P51798
CLCNKA	LABEL	P51800
CLCNKB	LABEL	P51801
CLK1	LABEL	P49759
CLK3	LABEL	P49761
CLK4	LABEL	Q9HAZ1
CMA1	LABEL	P23946
CMPK1	LABEL	P30085
CNGA3	LABEL	Q16281
CNR1	LABEL	P21554
CNR2	LABEL	P34972
COL1A1	LABEL	P02452
COMT	LABEL	P21964
COX4I1	LABEL	P13073
COX5A	LABEL	P20674
COX5B	LABEL	P10606
COX6A2	LABEL	Q02221
COX6B1	LABEL	P14854
COX6C	LABEL	P09669
COX7A1	LABEL	P24310
COX7B	LABEL	P24311
COX7C	LABEL	P15954
COX8A	LABEL	P10176
CPA1	LABEL	P15085
CPA2	LABEL	P48052
CPB1	LABEL	P15086
CPS1	LABEL	P31327
CPT1A	LABEL	P50416
CPT1B	LABEL	Q92523
CRAT	LABEL	P43155
CREB1	LABEL	P16220
CREBBP	LABEL	Q92793
CRH	LABEL	P06850
CRHR1	LABEL	P34998
CRHR2	LABEL	Q13324
CROT	LABEL	Q9UKG9
CRY1	LABEL	Q16526
CRY2	LABEL	Q49AN0
CRYZ	LABEL	Q08257
CS	LABEL	O75390
CSAD	LABEL	Q9Y600
CSF1	LABEL	P09603
CSF1R	LABEL	P07333
CSF2RB	LABEL	P32927
CSK	LABEL	P41240
CSNK1A1	LABEL	P48729
CSNK1D	LABEL	P48730
CSNK1E	LABEL	P49674
CSNK1G2	LABEL	P78368
CSNK1G3	LABEL	Q9Y6M4
CSNK2A1	LABEL	P68400
CSNK2A2	LABEL	P19784
CTDSP1	LABEL	Q9GZU7
CTH	LABEL	P32929
CTNNB1	LABEL	P35222
CTNS	LABEL	O60931
CTPS1	LABEL	P17812
CTSA	LABEL	P10619
CTSB	LABEL	P07858
CTSC	LABEL	P53634
CTSD	LABEL	P07339
CTSF	LABEL	Q9UBX1
CTSG	LABEL	P08311
CTSK	LABEL	P43235
CTSL	LABEL	P07711
CTSS	LABEL	P25774
CTSV	LABEL	O60911
CXCL2	LABEL	P19875
CXCL8	LABEL	P10145
CXCR1	LABEL	P25024
CXCR2	LABEL	P25025
CXCR3	LABEL	P49682
CXCR4	LABEL	P61073
CYB5R1	LABEL	Q9UHQ9
